epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,1928.92,0.70782,0.63215,0.22277,0.30431,0.32912,0.245,0.12913,0.67873,0.69747,0.29342,0.0287447,0.00958158,0.0287447,0.00958158,0.0287447,0.00958158,0.0287447,0.00958158
31,1992.21,0.71388,0.6215,0.22308,0.32518,0.30859,0.2568,0.13597,0.66955,0.7112,0.29085,0.028658,0.00955268,0.028658,0.00955268,0.028658,0.00955268,0.028658,0.00955268
32,2055.82,0.7029,0.62509,0.22166,0.30476,0.31394,0.244,0.12555,0.69352,0.7012,0.30146,0.0285686,0.00952286,0.0285686,0.00952286,0.0285686,0.00952286,0.0285686,0.00952286
33,2119.36,0.6886,0.62828,0.21826,0.30971,0.33789,0.25242,0.13085,0.68575,0.70963,0.29121,0.0284764,0.00949212,0.0284764,0.00949212,0.0284764,0.00949212,0.0284764,0.00949212
34,2183.4,0.70712,0.62796,0.22518,0.31643,0.34054,0.25847,0.13444,0.68221,0.69844,0.29551,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
35,2247.38,0.71756,0.61651,0.22047,0.31694,0.3278,0.24607,0.13205,0.65602,0.72327,0.2886,0.0282838,0.00942794,0.0282838,0.00942794,0.0282838,0.00942794,0.0282838,0.00942794
36,2312.01,0.70091,0.62464,0.21836,0.32846,0.32499,0.23938,0.12525,0.69337,0.73384,0.30108,0.0281835,0.00939451,0.0281835,0.00939451,0.0281835,0.00939451,0.0281835,0.00939451
37,2376.43,0.71239,0.61045,0.21829,0.31689,0.31935,0.24664,0.13421,0.68917,0.69011,0.29654,0.0280806,0.00936019,0.0280806,0.00936019,0.0280806,0.00936019,0.0280806,0.00936019
38,2440.46,0.69073,0.62024,0.21601,0.36604,0.31418,0.25372,0.13421,0.68713,0.71024,0.30372,0.027975,0.009325,0.027975,0.009325,0.027975,0.009325,0.027975,0.009325
39,2504.27,0.69866,0.61066,0.213,0.33434,0.30913,0.24775,0.12695,0.69496,0.71174,0.29736,0.0278668,0.00928893,0.0278668,0.00928893,0.0278668,0.00928893,0.0278668,0.00928893
